temperatura,humedad,aguaEnSuelo,tipoSuelo,tipoCultivo,nitrogeno,potasio,fosforo,nombreFertilizante
29.0,58.0,40.0,Rojo,NuecesMani,24,0,23,28-28
30.0,60.0,27.0,Franco,CañaAzucar,12,0,40,DAP
34.0,65.0,38.0,Arcilloso,Arrozal,39,0,0,Urea
36.0,68.0,38.0,Arenoso,Cebada,7,9,30,14-35-14
26.0,52.0,48.0,Franco,Trigo,23,0,19,28-28
28.0,54.0,35.0,Negro,Mijo,41,0,0,Urea
30.0,60.0,61.0,Franco,Algodon,8,10,31,14-35-14
37.0,70.0,37.0,Arcilloso,Arrozal,12,0,41,DAP
25.0,50.0,26.0,Rojo,NuecesMani,15,14,11,17-17-17
29.0,58.0,34.0,Arenoso,Mijo,15,0,37,DAP
27.0,54.0,30.0,Arcilloso,Legumbres,13,0,13,20-20
30.0,60.0,58.0,Franco,CañaAzucar,10,7,32,14-35-14
32.0,62.0,34.0,Rojo,Tabaco,22,0,24,28-28
34.0,65.0,60.0,Negro,CañaAzucar,35,0,0,Urea
35.0,67.0,42.0,Arenoso,Cebada,10,0,35,DAP
38.0,70.0,48.0,Franco,Trigo,8,8,28,14-35-14
26.0,52.0,32.0,Negro,SemillasOleaginosas,12,0,8,20-20
29.0,58.0,43.0,Arcilloso,Arrozal,24,0,18,28-28
30.0,60.0,29.0,Rojo,NuecesMani,41,0,0,Urea
33.0,64.0,51.0,Arenoso,Maiz,5,9,29,14-35-14
34.0,65.0,31.0,Rojo,Tabaco,23,0,21,28-28
36.0,68.0,33.0,Negro,SemillasOleaginosas,13,0,14,20-20
28.0,54.0,38.0,Arcilloso,Legumbres,40,0,0,Urea
30.0,60.0,47.0,Arenoso,Cebada,12,0,42,DAP
31.0,62.0,63.0,Rojo,Algodon,11,12,15,17-17-17
27.0,53.0,43.0,Negro,Mijo,23,0,24,28-28
34.0,65.0,54.0,Franco,Trigo,38,0,0,Urea
29.0,58.0,37.0,Arenoso,Mijo,8,0,15,20-20
25.0,50.0,56.0,Franco,CañaAzucar,11,13,15,17-17-17
32.0,62.0,34.0,Rojo,NuecesMani,15,0,37,DAP
28.0,54.0,41.0,Arcilloso,Arrozal,36,0,0,Urea
30.0,60.0,49.0,Franco,Trigo,13,0,9,20-20
34.0,65.0,64.0,Negro,Algodon,24,0,20,28-28
28.0,54.0,47.0,Arenoso,Cebada,5,18,15,10-26-26
27.0,53.0,35.0,Negro,SemillasOleaginosas,37,0,0,Urea
36.0,68.0,62.0,Rojo,Algodon,15,0,40,DAP
34.0,65.0,57.0,Negro,CañaAzucar,9,0,13,20-20
29.0,58.0,55.0,Franco,CañaAzucar,8,8,33,14-35-14
25.0,50.0,40.0,Arcilloso,Legumbres,6,19,16,10-26-26
30.0,60.0,38.0,Arenoso,Mijo,10,0,14,20-20
26.0,52.0,39.0,Arcilloso,Legumbres,21,0,23,28-28
31.0,62.0,32.0,Rojo,Tabaco,39,0,0,Urea
34.0,65.0,48.0,Franco,Trigo,23,0,19,28-28
27.0,53.0,34.0,Negro,SemillasOleaginosas,42,0,0,Urea
33.0,64.0,31.0,Rojo,NuecesMani,13,0,39,DAP
29.0,58.0,42.0,Arcilloso,Arrozal,9,10,22,14-35-14
30.0,60.0,47.0,Arenoso,Maiz,22,0,21,28-28
27.0,53.0,59.0,Franco,CañaAzucar,10,0,15,20-20
26.0,52.0,36.0,Arcilloso,Legumbres,7,16,20,10-26-26
34.0,65.0,63.0,Rojo,Algodon,14,0,38,DAP
28.0,54.0,43.0,Arcilloso,Arrozal,10,8,29,14-35-14
30.0,60.0,40.0,Arenoso,Mijo,41,0,0,Urea
29.0,58.0,65.0,Negro,Algodon,14,0,35,DAP
26.0,52.0,59.0,Franco,CañaAzucar,11,0,9,20-20
31.0,62.0,44.0,Arenoso,Cebada,21,0,28,28-28
35.0,67.0,28.0,Arcilloso,Legumbres,8,7,31,14-35-14
29.0,58.0,30.0,Rojo,Tabaco,13,17,16,10-26-26
27.0,53.0,30.0,Negro,Mijo,35,0,0,Urea
36.0,68.0,50.0,Franco,Trigo,12,18,19,10-26-26
29.0,58.0,61.0,Franco,Algodon,11,0,38,DAP
30.0,60.0,26.0,Negro,SemillasOleaginosas,8,9,30,14-35-14
34.0,65.0,45.0,Arcilloso,Arrozal,6,19,21,10-26-26
36.0,68.0,41.0,Rojo,NuecesMani,41,0,0,Urea
28.0,54.0,25.0,Arenoso,Maiz,9,10,30,14-35-14
25.0,50.0,32.0,Arcilloso,Legumbres,24,0,19,28-28
30.0,60.0,27.0,Rojo,Tabaco,4,17,17,10-26-26
38.0,72.0,51.0,Franco,Trigo,39,0,0,Urea
36.0,60.0,43.0,Arenoso,Mijo,15,0,41,DAP
29.0,58.0,57.0,Negro,CañaAzucar,12,0,10,20-20
27.58,59.21,31.27,Franco,Algodon,20,2,15,DAP
27.45,66.38,50.14,Negro,Mijo,9,12,14,28-28
27.25,63.62,40.35,Negro,Trigo,28,0,22,Urea
28.84,58.91,33.06,Arcilloso,Mijo,8,9,28,17-17-17
25.86,48.46,46.25,Rojo,NuecesMani,40,2,0,28-28
25.59,63.6,46.33,Arcilloso,Algodon,11,0,11,28-28
29.17,68.19,30.65,Arenoso,SemillasOleaginosas,6,4,14,Urea
36.05,73.59,58.17,Rojo,Mijo,9,14,11,17-17-17
26.76,64.22,53.63,Arenoso,NuecesMani,5,8,30,28-28
27.66,53.58,40.96,Rojo,Algodon,41,0,3,20-20
28.27,52.88,43.3,Negro,Trigo,40,0,0,10-26-26
38.39,69.51,65.09,Arcilloso,SemillasOleaginosas,8,1,16,Urea
28.74,56.8,54.07,Franco,Algodon,15,0,35,DAP
30.63,63.88,38.71,Franco,Arrozal,19,4,28,DAP
26.02,52.46,31.12,Franco,Cebada,11,5,12,10-26-26
34.71,64.94,52.62,Arenoso,SemillasOleaginosas,9,22,21,14-35-14
23.71,51.25,30.5,Negro,SemillasOleaginosas,11,0,8,17-17-17
30.63,61.45,23.18,Negro,Maiz,37,2,4,17-17-17
23.63,52.62,31.03,Arcilloso,CañaAzucar,12,13,13,14-35-14
27.65,58.09,69.07,Arcilloso,SemillasOleaginosas,16,3,32,10-26-26
31.19,60.94,30.51,Negro,Arrozal,12,0,36,Urea
37.12,72.87,47.06,Arenoso,Tabaco,45,2,0,Urea
33.52,60.46,47.85,Negro,Legumbres,7,15,16,DAP
29.44,59.34,55.51,Franco,CañaAzucar,10,3,31,17-17-17
33.24,69.48,65.48,Arcilloso,Algodon,8,13,28,10-26-26
20.85,53.18,43.77,Franco,Tabaco,2,20,19,Urea
38.42,73.97,50.41,Franco,CañaAzucar,11,1,36,DAP
29.04,71.09,21.12,Arenoso,Maiz,34,0,3,14-35-14
23.59,55.82,62.92,Rojo,CañaAzucar,39,0,0,Urea
38.56,73.46,30.62,Negro,Legumbres,11,0,32,28-28
30.87,63.94,46.2,Arenoso,Algodon,15,0,8,Urea
25.83,51.1,59.57,Arenoso,Maiz,38,4,0,Urea
34.51,63.92,70.0,Franco,CañaAzucar,14,0,35,17-17-17
31.92,62.59,27.78,Arenoso,Legumbres,18,0,25,DAP
28.43,58.72,43.9,Arenoso,CañaAzucar,13,16,11,20-20
27.53,55.04,57.07,Arenoso,Legumbres,4,0,14,28-28
24.53,67.4,48.49,Rojo,Arrozal,8,9,18,20-20
30.82,51.91,54.23,Rojo,Trigo,15,4,33,14-35-14
32.53,59.45,20.16,Franco,Algodon,9,15,16,17-17-17
28.17,58.69,34.11,Arenoso,Algodon,12,8,33,20-20
29.25,54.52,41.4,Arcilloso,Arrozal,35,0,0,28-28
22.26,51.36,48.36,Franco,Tabaco,6,16,17,Urea
30.76,66.64,56.32,Rojo,NuecesMani,41,3,4,28-28
27.84,66.53,36.89,Franco,CañaAzucar,7,11,20,Urea
29.21,64.21,54.95,Rojo,Trigo,7,11,31,14-35-14
26.01,59.52,35.75,Franco,Legumbres,11,13,15,28-28
29.5,55.42,51.17,Rojo,Algodon,23,0,23,10-26-26
32.98,62.02,33.12,Rojo,Trigo,40,0,0,10-26-26
24.24,59.04,50.07,Franco,Cebada,38,0,1,Urea
33.54,59.28,52.09,Arcilloso,Trigo,21,3,20,20-20
34.43,72.28,62.22,Arcilloso,NuecesMani,35,4,0,17-17-17
32.19,68.94,67.37,Arenoso,Cebada,15,0,33,20-20
32.55,71.46,67.14,Arcilloso,SemillasOleaginosas,5,7,32,20-20
28.38,52.02,43.83,Franco,Trigo,13,0,38,10-26-26
25.4,43.57,38.51,Rojo,Maiz,36,0,0,28-28
33.8,52.28,53.31,Arcilloso,Mijo,12,15,15,28-28
28.38,47.58,34.86,Negro,Arrozal,20,0,20,28-28
28.37,59.8,35.35,Negro,SemillasOleaginosas,23,2,16,17-17-17
30.08,73.84,41.22,Arenoso,CañaAzucar,1,14,22,10-26-26
34.95,64.93,62.63,Arcilloso,Trigo,31,1,0,14-35-14
35.56,74.88,52.16,Arcilloso,Algodon,20,0,21,14-35-14
24.05,52.76,58.9,Arenoso,SemillasOleaginosas,7,1,7,DAP
23.42,53.65,69.68,Arenoso,Cebada,11,3,14,20-20
31.68,62.14,42.55,Negro,CañaAzucar,17,0,31,17-17-17
31.03,69.0,49.46,Franco,Maiz,19,0,19,20-20
31.78,44.27,45.07,Franco,Maiz,5,8,32,DAP
22.3,60.64,40.78,Arenoso,NuecesMani,39,0,2,28-28
26.39,52.62,22.27,Arenoso,Algodon,8,1,43,17-17-17
29.36,64.39,20.0,Rojo,Tabaco,13,4,39,10-26-26
26.67,47.94,34.08,Negro,CañaAzucar,13,0,8,DAP
26.75,56.87,20.0,Arcilloso,Cebada,12,6,30,17-17-17
30.64,65.77,32.86,Arcilloso,CañaAzucar,24,0,17,17-17-17
29.89,48.59,38.0,Arcilloso,Legumbres,26,0,21,28-28
28.61,62.22,41.53,Franco,NuecesMani,8,13,18,Urea
37.09,63.72,47.99,Rojo,CañaAzucar,39,2,0,17-17-17
21.78,55.6,33.66,Franco,Maiz,37,3,0,10-26-26
30.42,70.37,55.92,Rojo,Trigo,2,5,25,17-17-17
35.39,52.28,42.97,Arenoso,Legumbres,10,17,12,10-26-26
30.53,52.17,41.92,Negro,SemillasOleaginosas,3,15,15,Urea
28.09,56.62,36.14,Franco,NuecesMani,10,0,34,20-20
22.95,55.86,31.58,Negro,Arrozal,16,3,22,28-28
32.06,75.56,55.73,Arenoso,Tabaco,18,1,38,17-17-17
38.4,67.88,62.06,Arcilloso,Maiz,11,11,16,28-28
33.59,66.16,69.67,Arenoso,Legumbres,12,13,27,20-20
26.47,62.91,46.87,Arenoso,NuecesMani,10,4,11,28-28
31.56,58.25,29.12,Franco,SemillasOleaginosas,13,21,14,14-35-14
29.13,56.72,67.72,Arcilloso,NuecesMani,8,13,32,17-17-17
23.35,59.98,63.83,Negro,SemillasOleaginosas,36,4,0,14-35-14
26.75,58.1,39.27,Arcilloso,Maiz,19,0,20,14-35-14
30.42,48.76,42.28,Rojo,Mijo,41,0,1,17-17-17
24.9,51.02,31.9,Franco,NuecesMani,14,13,8,17-17-17
27.31,57.3,22.41,Franco,Trigo,34,1,0,Urea
31.5,74.7,23.25,Arcilloso,NuecesMani,8,1,9,DAP
27.63,69.25,41.18,Franco,Mijo,19,0,26,DAP
22.59,45.7,33.13,Negro,Maiz,38,0,4,14-35-14
35.97,60.1,26.8,Negro,Tabaco,11,2,40,20-20
27.69,55.55,27.9,Rojo,CañaAzucar,26,2,22,20-20
24.27,52.43,62.34,Franco,Mijo,6,1,14,DAP
30.42,50.01,26.27,Negro,NuecesMani,9,3,11,28-28
31.52,44.64,42.86,Rojo,Cebada,13,0,35,28-28
30.64,57.57,46.45,Rojo,Trigo,12,4,13,20-20
22.17,47.78,43.03,Arcilloso,Arrozal,15,0,16,28-28
36.5,65.85,42.33,Franco,Maiz,5,10,32,10-26-26
35.13,65.69,37.76,Negro,Maiz,8,4,6,28-28
24.82,53.75,47.97,Negro,NuecesMani,6,14,10,DAP
31.24,55.88,37.05,Arenoso,SemillasOleaginosas,6,0,9,Urea
29.77,46.18,63.79,Franco,Algodon,5,3,14,10-26-26
25.86,46.65,32.67,Arcilloso,SemillasOleaginosas,35,0,0,17-17-17
30.15,60.77,42.93,Arcilloso,Algodon,44,0,0,Urea
29.46,59.4,49.1,Arcilloso,NuecesMani,10,0,12,28-28
29.37,64.45,64.66,Negro,Algodon,38,0,0,10-26-26
23.63,58.75,35.6,Rojo,SemillasOleaginosas,19,0,18,28-28
32.45,60.24,55.92,Arenoso,Mijo,10,5,31,28-28
37.34,63.39,25.36,Rojo,Arrozal,15,4,39,14-35-14
30.41,67.24,65.58,Franco,Algodon,3,8,34,17-17-17
31.9,55.45,59.87,Arenoso,Cebada,12,0,37,14-35-14
35.85,52.79,54.13,Arcilloso,Algodon,16,13,16,17-17-17
28.87,49.91,35.02,Rojo,Legumbres,20,0,23,10-26-26
26.33,50.2,45.34,Arcilloso,SemillasOleaginosas,9,19,18,10-26-26
29.67,58.75,40.69,Arenoso,CañaAzucar,35,0,0,Urea
32.2,50.72,39.63,Arcilloso,NuecesMani,23,0,15,28-28
29.24,62.15,51.65,Negro,Mijo,6,0,41,10-26-26
34.15,71.16,41.7,Rojo,Arrozal,37,0,1,Urea
31.56,55.15,56.8,Rojo,Cebada,9,0,35,DAP
24.76,56.88,20.0,Arcilloso,SemillasOleaginosas,9,0,36,10-26-26
34.15,63.96,47.64,Rojo,Cebada,11,0,14,14-35-14
30.7,57.71,38.36,Arenoso,Trigo,9,4,18,28-28
34.89,53.79,37.58,Rojo,NuecesMani,23,2,22,Urea
26.7,63.42,24.65,Arenoso,Algodon,13,1,42,17-17-17
23.75,61.43,52.94,Negro,NuecesMani,37,0,0,DAP
25.73,52.9,46.14,Rojo,Algodon,21,0,18,20-20
25.36,50.91,24.39,Franco,Trigo,13,0,10,20-20
36.35,61.89,65.38,Negro,CañaAzucar,39,0,0,DAP
21.91,46.66,45.27,Negro,Mijo,24,0,21,14-35-14
26.44,65.84,50.2,Arcilloso,Legumbres,10,0,9,28-28
28.93,50.28,20.33,Rojo,Trigo,8,0,12,Urea
30.06,53.68,70.0,Arenoso,Maiz,7,6,34,20-20
35.29,64.13,46.59,Arcilloso,Legumbres,16,13,13,14-35-14
24.61,63.9,70.0,Franco,Legumbres,41,2,0,DAP
29.38,60.44,45.57,Arcilloso,Mijo,19,0,22,14-35-14
30.2,51.16,32.5,Rojo,Cebada,20,0,19,DAP
32.46,68.2,64.77,Arenoso,CañaAzucar,11,0,9,14-35-14
24.26,53.19,67.73,Arcilloso,SemillasOleaginosas,34,0,4,DAP
37.9,75.51,25.35,Arcilloso,NuecesMani,11,0,35,DAP
31.1,55.48,46.43,Arenoso,Algodon,34,0,2,Urea
31.75,62.4,34.97,Negro,Trigo,17,0,15,Urea
27.29,57.56,53.09,Negro,Legumbres,15,11,11,20-20
26.71,55.89,69.87,Franco,Arrozal,15,0,40,14-35-14
29.25,56.07,33.6,Negro,SemillasOleaginosas,21,0,18,DAP
29.73,58.67,29.64,Rojo,Cebada,17,0,20,17-17-17
31.62,57.88,42.77,Arcilloso,SemillasOleaginosas,10,12,18,14-35-14
25.93,54.07,23.84,Franco,Maiz,8,13,12,14-35-14
26.47,55.37,59.34,Arenoso,Maiz,11,1,12,20-20
21.92,53.0,33.57,Negro,Cebada,18,0,42,17-17-17
24.35,58.11,34.04,Arcilloso,SemillasOleaginosas,4,0,10,28-28
29.55,45.99,50.06,Rojo,CañaAzucar,9,4,10,10-26-26
28.29,60.24,33.44,Negro,Legumbres,33,0,2,DAP
31.31,73.26,70.0,Franco,Legumbres,11,2,41,14-35-14
30.05,58.21,23.31,Franco,Algodon,43,0,0,17-17-17
31.27,62.18,32.06,Arenoso,Arrozal,21,4,24,14-35-14
32.51,61.45,70.0,Franco,NuecesMani,10,1,32,Urea
23.98,44.94,20.0,Arenoso,SemillasOleaginosas,14,11,13,28-28
30.28,69.29,53.16,Arenoso,Tabaco,39,1,2,10-26-26
28.02,54.85,55.71,Arenoso,CañaAzucar,10,9,18,20-20
28.66,56.26,39.29,Negro,CañaAzucar,37,0,1,DAP
30.85,70.39,29.35,Negro,Mijo,22,0,26,10-26-26
24.51,62.55,65.83,Franco,Legumbres,13,4,5,Urea
22.33,56.84,29.98,Negro,NuecesMani,18,4,23,14-35-14
29.75,55.39,28.42,Arenoso,Tabaco,42,1,4,14-35-14
28.27,52.86,22.36,Arcilloso,NuecesMani,41,0,2,10-26-26
33.27,67.2,40.49,Franco,Arrozal,17,0,12,10-26-26
38.53,70.2,28.94,Franco,Mijo,10,0,32,17-17-17
25.2,60.02,69.92,Arenoso,SemillasOleaginosas,8,14,31,20-20
23.66,55.66,31.32,Rojo,Trigo,38,0,2,20-20
35.01,71.58,39.2,Negro,Trigo,9,0,16,14-35-14
36.92,69.78,32.64,Arcilloso,Maiz,12,2,31,14-35-14
23.74,47.23,43.64,Rojo,Tabaco,18,0,19,10-26-26
30.51,48.99,28.68,Negro,Tabaco,6,0,11,14-35-14
27.02,68.83,33.05,Negro,Tabaco,0,16,19,Urea
27.77,42.89,59.1,Rojo,Cebada,6,2,13,Urea
39.65,63.55,47.33,Rojo,Algodon,3,12,30,Urea
37.27,64.08,36.28,Rojo,Cebada,15,4,45,20-20
27.93,64.17,62.13,Negro,Legumbres,7,0,6,20-20
29.95,61.75,36.58,Negro,CañaAzucar,37,0,0,28-28
24.97,59.24,47.46,Arenoso,Arrozal,26,0,21,20-20
27.68,61.68,59.47,Arcilloso,Arrozal,18,0,36,17-17-17
23.82,47.74,30.62,Negro,Algodon,2,20,12,17-17-17
34.57,69.61,57.23,Arcilloso,Legumbres,38,0,0,DAP
35.1,70.14,56.12,Franco,Legumbres,16,0,44,20-20
33.71,59.42,29.32,Negro,Cebada,16,0,38,14-35-14
24.75,45.31,49.7,Arcilloso,Algodon,23,0,23,10-26-26
37.36,59.64,53.7,Franco,Mijo,3,12,31,10-26-26
32.22,56.29,48.76,Negro,Maiz,35,0,2,10-26-26
32.35,48.81,46.33,Franco,Arrozal,31,3,0,20-20
40.0,80.0,59.99,Arcilloso,Algodon,42,0,0,10-26-26
25.85,62.32,48.82,Rojo,Algodon,33,3,0,DAP
30.61,66.36,42.09,Rojo,Cebada,8,22,18,DAP
34.51,54.79,54.12,Franco,Maiz,5,6,26,28-28
29.66,43.74,43.31,Rojo,Arrozal,35,3,2,20-20
31.75,46.82,37.35,Rojo,Maiz,16,0,15,DAP
25.43,68.65,39.28,Rojo,SemillasOleaginosas,20,0,17,10-26-26
30.97,58.53,29.79,Franco,Trigo,10,21,13,17-17-17
28.58,71.66,46.04,Rojo,SemillasOleaginosas,10,12,9,10-26-26
29.87,63.64,61.4,Negro,Trigo,15,16,10,20-20
25.09,54.56,34.08,Rojo,Maiz,19,0,21,28-28
29.76,45.13,30.91,Rojo,Algodon,35,2,0,DAP
31.38,69.36,35.4,Negro,Tabaco,35,3,0,Urea
36.7,70.28,23.31,Arenoso,NuecesMani,37,0,0,10-26-26
26.91,44.27,23.76,Franco,Cebada,18,0,45,10-26-26
30.83,53.08,47.02,Negro,SemillasOleaginosas,7,0,5,DAP
31.98,55.89,57.6,Rojo,Cebada,37,4,0,17-17-17
30.46,48.84,33.31,Rojo,Arrozal,23,1,25,14-35-14
29.24,54.29,47.85,Arcilloso,Arrozal,14,9,32,Urea
31.38,67.84,59.74,Franco,Maiz,12,0,34,10-26-26
29.08,54.19,61.72,Arcilloso,Maiz,41,0,1,14-35-14
40.0,60.8,50.41,Negro,Algodon,12,10,23,10-26-26
23.18,53.55,20.0,Negro,NuecesMani,19,15,15,17-17-17
32.61,54.79,70.0,Negro,Cebada,40,4,0,Urea
36.12,72.17,33.4,Arenoso,Arrozal,9,0,37,Urea
23.88,57.05,35.25,Franco,Cebada,40,3,0,20-20
30.78,64.7,35.01,Arcilloso,Legumbres,14,0,12,10-26-26
36.46,65.08,43.87,Rojo,Arrozal,10,8,27,10-26-26
40.0,77.61,29.53,Franco,CañaAzucar,7,4,45,10-26-26
32.0,57.73,35.48,Negro,Trigo,42,0,0,10-26-26
32.69,69.21,22.19,Negro,CañaAzucar,4,10,26,20-20
29.63,45.37,21.76,Negro,CañaAzucar,14,0,11,28-28
34.22,56.39,49.89,Rojo,Legumbres,25,0,19,14-35-14
36.56,76.26,36.26,Arenoso,Trigo,7,11,34,10-26-26
37.0,62.94,55.83,Franco,Legumbres,35,1,0,20-20
37.66,74.6,28.6,Negro,Mijo,36,3,3,DAP
36.42,75.12,46.56,Arenoso,NuecesMani,14,2,37,DAP
29.92,50.41,62.32,Arcilloso,NuecesMani,8,9,32,10-26-26
31.96,49.13,52.38,Franco,Maiz,8,0,38,10-26-26
38.65,62.79,58.95,Negro,Algodon,10,0,43,20-20
24.94,50.42,55.75,Rojo,Tabaco,35,0,1,14-35-14
26.11,52.09,44.94,Negro,Legumbres,25,4,22,Urea
39.68,75.02,51.69,Arcilloso,Cebada,3,4,31,14-35-14
32.74,64.14,68.56,Rojo,Mijo,12,0,39,10-26-26
25.3,50.31,45.77,Franco,Tabaco,14,1,36,14-35-14
29.37,61.61,33.0,Franco,SemillasOleaginosas,4,9,26,10-26-26
35.12,61.28,35.3,Rojo,CañaAzucar,11,0,36,Urea
31.57,46.3,28.05,Rojo,Tabaco,36,0,0,14-35-14
38.0,61.23,26.32,Negro,Trigo,9,4,38,17-17-17
36.29,71.0,56.12,Negro,Cebada,38,0,0,DAP
32.76,61.99,68.62,Negro,Legumbres,13,0,38,DAP
33.01,61.9,32.87,Arenoso,Trigo,41,3,1,28-28
27.09,64.13,38.0,Negro,Arrozal,28,0,27,28-28
30.15,68.23,37.36,Arenoso,Trigo,11,0,9,28-28
31.12,54.41,55.18,Arcilloso,SemillasOleaginosas,12,0,31,DAP
31.08,61.81,34.73,Rojo,Trigo,38,3,0,DAP
34.99,65.23,27.62,Arcilloso,Maiz,1,17,13,10-26-26
28.29,46.16,41.47,Negro,Mijo,3,12,16,20-20
37.61,61.11,36.72,Franco,Cebada,10,2,42,Urea
36.02,69.03,54.45,Arenoso,Cebada,21,0,22,20-20
28.58,41.09,30.84,Rojo,Tabaco,21,0,22,17-17-17
24.6,52.29,30.92,Negro,Tabaco,16,0,39,DAP
29.87,56.39,37.84,Arenoso,Algodon,13,4,6,10-26-26
29.85,47.2,57.02,Arenoso,Mijo,27,0,20,10-26-26
26.12,63.44,63.43,Franco,Mijo,5,10,36,DAP
34.94,57.44,52.37,Arenoso,Trigo,5,3,5,DAP
31.59,63.18,56.9,Negro,Arrozal,16,4,36,10-26-26
37.33,67.17,37.59,Franco,Maiz,11,0,42,10-26-26
24.02,45.09,67.89,Franco,Tabaco,37,1,2,14-35-14
33.56,66.29,26.04,Arcilloso,Trigo,43,2,2,14-35-14
30.78,50.3,52.95,Arcilloso,Cebada,25,0,22,20-20
32.39,66.19,63.37,Arcilloso,NuecesMani,10,7,26,10-26-26
31.26,67.75,26.57,Negro,Cebada,23,2,22,Urea
38.04,69.01,42.8,Rojo,NuecesMani,9,8,32,10-26-26
32.73,62.66,34.5,Rojo,Arrozal,12,1,44,17-17-17
27.79,60.14,41.16,Arcilloso,Arrozal,37,0,4,10-26-26
32.24,55.75,45.85,Negro,Legumbres,44,0,0,20-20
31.18,60.59,20.77,Negro,Legumbres,12,0,42,28-28
34.04,65.18,55.33,Negro,NuecesMani,12,7,32,28-28
28.92,49.12,20.0,Negro,Legumbres,11,14,31,17-17-17
36.08,74.86,38.71,Rojo,Trigo,8,20,21,10-26-26
32.57,62.47,37.05,Arenoso,Mijo,14,3,36,Urea
32.53,51.27,44.71,Arenoso,NuecesMani,38,0,4,14-35-14
25.19,60.71,52.06,Rojo,Arrozal,26,0,25,14-35-14
28.66,47.45,44.04,Franco,Trigo,36,0,4,20-20
24.59,58.22,64.12,Arenoso,Arrozal,9,14,12,10-26-26
25.71,59.93,51.81,Arcilloso,Tabaco,8,0,37,17-17-17
28.24,54.62,35.02,Arcilloso,Trigo,10,0,12,DAP
33.95,61.0,45.29,Arcilloso,Maiz,18,3,17,17-17-17
33.88,59.02,35.32,Arcilloso,CañaAzucar,11,4,27,DAP
30.87,58.93,70.0,Arcilloso,SemillasOleaginosas,2,9,32,28-28
33.25,69.66,51.62,Arenoso,Maiz,36,0,4,Urea
30.25,72.59,57.4,Negro,Legumbres,4,0,15,28-28
31.59,67.65,56.8,Arenoso,SemillasOleaginosas,7,3,42,Urea
37.68,62.61,54.72,Negro,NuecesMani,41,0,4,Urea
30.23,70.15,26.2,Rojo,SemillasOleaginosas,19,0,33,17-17-17
30.29,58.63,51.24,Franco,NuecesMani,24,0,16,17-17-17
27.47,53.06,40.0,Rojo,Arrozal,8,0,40,28-28
29.05,52.0,53.16,Negro,Algodon,19,0,15,28-28
22.27,58.06,38.54,Negro,Tabaco,2,16,19,28-28
26.4,57.87,57.72,Arenoso,Algodon,36,0,2,14-35-14
24.38,52.09,25.67,Franco,CañaAzucar,13,10,26,28-28
33.24,51.28,65.32,Negro,Legumbres,5,14,29,Urea
27.41,52.54,41.48,Negro,Cebada,9,0,10,Urea
32.64,77.53,39.18,Arcilloso,Maiz,12,0,34,20-20
27.61,71.93,41.84,Rojo,Cebada,18,0,29,17-17-17
36.71,76.2,24.17,Arenoso,Cebada,10,0,17,14-35-14
31.72,71.9,41.1,Arcilloso,SemillasOleaginosas,14,2,38,20-20
38.33,70.83,45.85,Franco,Algodon,1,14,17,Urea
31.36,44.29,43.74,Arenoso,Legumbres,10,0,40,17-17-17
31.97,57.04,39.26,Franco,Maiz,23,0,26,10-26-26
